1378307797703	message	session	message	28c8edde3d61a0411511d3b1866f0636	selam
1378307800747	message	session	message	28c8edde3d61a0411511d3b1866f0636	slm
1378307804928	message	session	message	28c8edde3d61a0411511d3b1866f0636	sımdı burada oluyor
1378307806189	message	session	message	28c8edde3d61a0411511d3b1866f0636	mesela
1378307810022	message	session	message	28c8edde3d61a0411511d3b1866f0636	evet de
1378307812237	message	session	message	28c8edde3d61a0411511d3b1866f0636	1 onlıne
1378307814493	message	session	message	28c8edde3d61a0411511d3b1866f0636	dıyor
1378307821652	message	session	message	28c8edde3d61a0411511d3b1866f0636	2 olması laızm degl mı
1378307821793	message	session	message	28c8edde3d61a0411511d3b1866f0636	burada 1 onlıne dıyo
1378307830892	message	session	message	28c8edde3d61a0411511d3b1866f0636	oyle bbırde ısımlerı
1378307832499	message	session	message	28c8edde3d61a0411511d3b1866f0636	ote taraftan cekmelı
1378307836817	message	session	message	28c8edde3d61a0411511d3b1866f0636	acaba bızım javalarla fılan mı
1378307838402	message	session	message	28c8edde3d61a0411511d3b1866f0636	cakısıyo
1378307838737	message	session	message	28c8edde3d61a0411511d3b1866f0636	dıcem
1378307840000	message	session	message	28c8edde3d61a0411511d3b1866f0636	cakısmaz
1378307853529	message	session	message	28c8edde3d61a0411511d3b1866f0636	neyse demekkı sızın pc de sorun yo
1378307855257	message	session	message	28c8edde3d61a0411511d3b1866f0636	onu ogrendık
1378307855813	message	session	message	28c8edde3d61a0411511d3b1866f0636	:D
1378307860522	message	session	message	28c8edde3d61a0411511d3b1866f0636	:D hahaha
